Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7220,07/07/2024,17:30,19:35,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7252,07/07/2024,09:30,11:35,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7254,07/07/2024,15:30,17:35,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH202,07/07/2024,05:25,07:35,02h 10m,"3,668,000 VND",EconomyFlex
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH204,07/07/2024,07:45,09:55,02h 10m,"3,668,000 VND",EconomyFlex
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH242,07/07/2024,13:35,15:45,02h 10m,"3,668,000 VND",EconomyFlex
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH244,07/07/2024,15:15,17:25,02h 10m,"3,668,000 VND",EconomyFlex
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH278,07/07/2024,20:35,22:45,02h 10m,"3,668,000 VND",EconomyFlex
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH286,07/07/2024,23:15,01:25,02h 10m,"3,668,000 VND",EconomyFlex
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH202,07/07/2024,05:25,07:35,02h 10m,"3,695,000 VND",BusinessSmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH286,07/07/2024,23:15,01:25,02h 10m,"3,695,000 VND",BusinessSmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN208,07/07/2024,08:00,10:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN210,07/07/2024,10:00,12:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,07/07/2024,12:00,14:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN214,07/07/2024,14:00,16:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN216,07/07/2024,16:00,18:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN218,07/07/2024,18:00,20:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,07/07/2024,20:00,22:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN240,07/07/2024,07:00,09:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN244,07/07/2024,09:00,11:20,02h 20m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN246,07/07/2024,11:00,13:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN248,07/07/2024,13:00,15:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN250,07/07/2024,15:00,17:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,07/07/2024,16:40,19:10,02h 30m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,07/07/2024,17:00,19:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,07/07/2024,19:00,21:15,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,07/07/2024,19:30,21:40,02h 10m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN272,07/07/2024,15:30,17:45,02h 15m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7220,07/07/2024,17:30,19:35,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7252,07/07/2024,09:30,11:35,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7254,07/07/2024,15:30,17:35,02h 5m,"3,818,000 VND",
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN208,07/07/2024,08:00,10:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN210,07/07/2024,10:00,12:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,07/07/2024,12:00,14:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN214,07/07/2024,14:00,16:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN216,07/07/2024,16:00,18:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN218,07/07/2024,18:00,20:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,07/07/2024,20:00,22:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN240,07/07/2024,07:00,09:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN244,07/07/2024,09:00,11:20,02h 20m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN246,07/07/2024,11:00,13:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN248,07/07/2024,13:00,15:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN250,07/07/2024,15:00,17:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,07/07/2024,16:40,19:10,02h 30m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,07/07/2024,17:00,19:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,07/07/2024,19:00,21:15,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,07/07/2024,19:30,21:40,02h 10m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN272,07/07/2024,15:30,17:45,02h 15m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7220,07/07/2024,17:30,19:35,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7252,07/07/2024,09:30,11:35,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7254,07/07/2024,15:30,17:35,02h 5m,"4,064,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN208,07/07/2024,08:00,10:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN210,07/07/2024,10:00,12:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,07/07/2024,12:00,14:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN214,07/07/2024,14:00,16:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN216,07/07/2024,16:00,18:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN218,07/07/2024,18:00,20:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,07/07/2024,20:00,22:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN240,07/07/2024,07:00,09:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN244,07/07/2024,09:00,11:20,02h 20m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN246,07/07/2024,11:00,13:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN248,07/07/2024,13:00,15:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN250,07/07/2024,15:00,17:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,07/07/2024,16:40,19:10,02h 30m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,07/07/2024,17:00,19:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,07/07/2024,19:00,21:15,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,07/07/2024,19:30,21:40,02h 10m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN272,07/07/2024,15:30,17:45,02h 15m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7220,07/07/2024,17:30,19:35,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7252,07/07/2024,09:30,11:35,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7254,07/07/2024,15:30,17:35,02h 5m,"4,298,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN208,07/07/2024,08:00,10:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN210,07/07/2024,10:00,12:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,07/07/2024,12:00,14:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN214,07/07/2024,14:00,16:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN216,07/07/2024,16:00,18:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN218,07/07/2024,18:00,20:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,07/07/2024,20:00,22:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN240,07/07/2024,07:00,09:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN244,07/07/2024,09:00,11:20,02h 20m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN246,07/07/2024,11:00,13:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN248,07/07/2024,13:00,15:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN250,07/07/2024,15:00,17:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,07/07/2024,16:40,19:10,02h 30m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,07/07/2024,17:00,19:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,07/07/2024,19:00,21:15,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,07/07/2024,19:30,21:40,02h 10m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN272,07/07/2024,15:30,17:45,02h 15m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7220,07/07/2024,17:30,19:35,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7252,07/07/2024,09:30,11:35,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7254,07/07/2024,15:30,17:35,02h 5m,"4,489,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU720,07/07/2024,18:50,21:10,02h 20m,"4,847,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU750,07/07/2024,05:45,07:50,02h 5m,"4,847,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH278,07/07/2024,20:35,22:45,02h 10m,"4,976,000 VND",BusinessSmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1132,07/07/2024,01:20,03:30,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1136,07/07/2024,01:30,03:40,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1138,07/07/2024,23:25,01:35,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ120,07/07/2024,06:00,08:10,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ122,07/07/2024,07:00,09:10,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ126,07/07/2024,08:40,10:50,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ128,07/07/2024,09:30,11:40,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ130,07/07/2024,10:10,12:20,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ132,07/07/2024,11:00,13:10,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ136,07/07/2024,13:20,15:30,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ142,07/07/2024,15:00,17:10,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ144,07/07/2024,16:30,18:40,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ148,07/07/2024,15:35,17:45,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ154,07/07/2024,18:30,20:40,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ156,07/07/2024,19:40,21:50,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ160,07/07/2024,23:05,01:15,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ162,07/07/2024,21:30,23:40,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ166,07/07/2024,20:15,22:25,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ168,07/07/2024,06:40,08:50,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ172,07/07/2024,12:10,14:20,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ174,07/07/2024,13:10,15:20,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ176,07/07/2024,21:15,23:25,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ180,07/07/2024,23:55,02:05,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ182,07/07/2024,04:55,07:10,02h 15m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ192,07/07/2024,22:15,00:25,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ194,07/07/2024,23:00,01:10,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ198,07/07/2024,05:25,07:35,02h 10m,"6,001,000 VND",Skyboss
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH244,07/07/2024,15:15,17:25,02h 10m,"6,636,000 VND",BusinessSmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"7,032,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"7,680,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"7,680,000 VND",Thương gia tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"7,680,000 VND",Thương gia tiêu chuẩn
